id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
7411,CDS,cde_fo,JPYINR,10519,OPTCUR,PE,62,JPYINR10MARCH2362PE,JPYINR2331062PE,JPYINR 10MAR23 62 PE,10-03-2023,1,0.0025
7412,CDS,cde_fo,JPYINR,10520,OPTCUR,CE,62.25,JPYINR10MARCH2362.25CE,JPYINR2331062.25CE,JPYINR 10MAR23 62.25 CE,10-03-2023,1,0.0025
7413,CDS,cde_fo,JPYINR,10521,OPTCUR,PE,62.25,JPYINR10MARCH2362.25PE,JPYINR2331062.25PE,JPYINR 10MAR23 62.25 PE,10-03-2023,1,0.0025
7414,CDS,cde_fo,EURINR,10522,OPTCUR,PE,84.75,EURINR10FEBRUARY2384.75PE,EURINR2321084.75PE,EURINR 10FEB23 84.75 PE,10-02-2023,1,0.0025
7415,CDS,cde_fo,EURINR,10523,OPTCUR,CE,85,EURINR10FEBRUARY2385CE,EURINR2321085CE,EURINR 10FEB23 85 CE,10-02-2023,1,0.0025
7416,CDS,cde_fo,EURINR,10524,OPTCUR,PE,85,EURINR10FEBRUARY2385PE,EURINR2321085PE,EURINR 10FEB23 85 PE,10-02-2023,1,0.0025
7417,CDS,cde_fo,EURINR,10525,OPTCUR,CE,85.25,EURINR10FEBRUARY2385.25CE,EURINR2321085.25CE,EURINR 10FEB23 85.25 CE,10-02-2023,1,0.0025
7418,CDS,cde_fo,EURINR,10528,OPTCUR,PE,85.25,EURINR10FEBRUARY2385.25PE,EURINR2321085.25PE,EURINR 10FEB23 85.25 PE,10-02-2023,1,0.0025
7419,CDS,cde_fo,EURINR,10529,OPTCUR,CE,85.5,EURINR10FEBRUARY2385.5CE,EURINR2321085.5CE,EURINR 10FEB23 85.5 CE,10-02-2023,1,0.0025
7420,CDS,cde_fo,EURINR,10530,OPTCUR,PE,85.5,EURINR10FEBRUARY2385.5PE,EURINR2321085.5PE,EURINR 10FEB23 85.5 PE,10-02-2023,1,0.0025
7421,CDS,cde_fo,EURINR,10531,OPTCUR,CE,85.75,EURINR10FEBRUARY2385.75CE,EURINR2321085.75CE,EURINR 10FEB23 85.75 CE,10-02-2023,1,0.0025
7422,CDS,cde_fo,JPYINR,10532,OPTCUR,PE,49.5,JPYINR27JANUARY2349.5PE,JPYINR23JAN49.5PE,JPYINR 27JAN23 49.5 PE,27-01-2023,1,0.0025
7423,CDS,cde_fo,JPYINR,10533,OPTCUR,CE,49.75,JPYINR27JANUARY2349.75CE,JPYINR23JAN49.75CE,JPYINR 27JAN23 49.75 CE,27-01-2023,1,0.0025
7424,CDS,cde_fo,JPYINR,10534,OPTCUR,PE,49.75,JPYINR27JANUARY2349.75PE,JPYINR23JAN49.75PE,JPYINR 27JAN23 49.75 PE,27-01-2023,1,0.0025
7425,CDS,cde_fo,JPYINR,10535,OPTCUR,CE,50,JPYINR27JANUARY2350CE,JPYINR23JAN50CE,JPYINR 27JAN23 50 CE,27-01-2023,1,0.0025
7426,CDS,cde_fo,EURINR,10536,OPTCUR,PE,85.75,EURINR10FEBRUARY2385.75PE,EURINR2321085.75PE,EURINR 10FEB23 85.75 PE,10-02-2023,1,0.0025
7427,CDS,cde_fo,EURINR,10537,OPTCUR,CE,86,EURINR10FEBRUARY2386CE,EURINR2321086CE,EURINR 10FEB23 86 CE,10-02-2023,1,0.0025
7428,CDS,cde_fo,EURINR,10538,OPTCUR,PE,86,EURINR10FEBRUARY2386PE,EURINR2321086PE,EURINR 10FEB23 86 PE,10-02-2023,1,0.0025
7429,CDS,cde_fo,EURINR,10539,OPTCUR,CE,86.25,EURINR10FEBRUARY2386.25CE,EURINR2321086.25CE,EURINR 10FEB23 86.25 CE,10-02-2023,1,0.0025
